Municipality,Area Owned,"Area Leased, Rented or Crop Shared",Land Used Through Other Arrangements
Durham,206928,129409,9702
Halton,45598,48189,1903
York,86568,84395,4343
Peel,47485,49287,3190
GTA,386579,311280,19138
