Municipality,Area Owned,"Area Leased, Rented or Crop Shared",Land Used Through Other Arrangements
Durham,207446,122840,-
Halton,45823,52935,-
York,75136,100829,-
Peel,48069,56364,-
GTA,376474,332968,-
